name,feature_class,feature_code,country_code,lat,long,nearby_features,neighbouring_features
Saint Thomas,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BB,13.17932,-59.58787,None,None
Saint Philip,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BB,13.1339,-59.46402,None,None
Saint Peter,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BB,13.26096,-59.61585,None,None
Saint Michael,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BB,13.12633,-59.59817,None,None
Saint Lucy,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BB,13.30728,-59.61937,None,None
Saint Joseph,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BB,13.2056,-59.54418,None,None
Saint John,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BB,13.17581,-59.50303,None,None
Saint James,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BB,13.21183,-59.61956,None,None
Saint George,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BB,13.13933,-59.54345,None,None
Saint Andrew,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BB,13.23986,-59.5783,None,None
Christ Church,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BB,13.08734,-59.52418,None,None
Upper Takutu-Upper Essequibo Region,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,GY,2.91667,-59,None,None
Upper Demerara-Berbice Region,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,GY,5.5,-58.33333,None,None
Potaro-Siparuni Region,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,GY,4.9,-59.3,None,None
Pomeroon-Supenaam Region,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,GY,7.08333,-58.83333,None,None
Mahaica-Berbice Region,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,GY,6.25,-57.83333,None,None
Essequibo Islands-West Demerara Region,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,GY,6.66667,-58.5,None,None
East Berbice-Corentyne Region,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,GY,4,-58.16667,None,None
Demerara-Mahaica Region,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,GY,6.5,-58.08333,None,None
Cuyuni-Mazaruni Region,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,GY,6,-60,None,None
Barima-Waini Region,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,GY,7.66667,-59.75,None,None
Distrikt Wanica,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,SR,5.75,-55.25,None,None
Distrikt Sipaliwini,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,SR,4,-56,None,None
Distrikt Saramacca,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,SR,5.66667,-55.58333,None,None
Distrikt Paramaribo,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,SR,5.86667,-55.16667,None,None
Distrikt Para,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,SR,5.41667,-55.33333,None,None
Distrikt Nickerie,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,SR,5.66667,-56.83333,None,None
Distrikt Marowijne,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,SR,5.58333,-54.33333,None,None
Distrikt Coronie,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,SR,5.58333,-56.25,None,None
Distrikt Commewijne,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,SR,5.75,-54.91667,None,None
Distrikt Brokopondo,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,SR,4.75,-55.16667,None,None
Rio Grande do Norte,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BR,-5.75,-36.5,None,None
Piauí,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BR,-7.25,-42.33333,None,None
Pernambuco,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BR,-8.33333,-37.75,None,None
Paraíba,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BR,-7.25,-36.5,None,None
Pará,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BR,-4,-53,None,None
Maranhão,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BR,-5,-45,None,None
Ceará,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BR,-5,-39.5,None,None
Amapá,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BR,1,-52,None,None
Alagoas,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,BR,-9.58333,-36.41667,None,None
Commune de Saint-Pierre,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PM,46.78333,-56.2,None,None
Miquelon-Langlade,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PM,46.95612,-56.32656,None,None
Misiones,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,AR,-26.81427,-54.34387,None,None
Formosa,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,AR,-25,-60,None,None
Buenos Aires F.D.,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,AR,-34.6,-58.45,None,None
Entre Rios,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,AR,-32,-59,None,None
Corrientes,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,AR,-29,-58,None,None
Buenos Aires,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,AR,-36,-60,None,None
Departamento de San Pedro,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-24.13333,-56.66667,None,None
Departamento de Presidente Hayes,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-23.5,-58.83333,None,None
Departamento de Paraguarí,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-26,-57.16667,None,None
Departamento de Ñeembucú,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-26.66667,-57.91667,None,None
Departamento de Misiones,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-27,-57,None,None
Departamento de Itapúa,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-26.83333,-55.66667,None,None
Departamento del Guairá,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-25.8,-56.26667,None,None
Departamento de la Cordillera,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-25.25,-57,None,None
Departamento de Concepción,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-22.83333,-57.16667,None,None
Departamento Central,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-25.53333,-57.46667,None,None
Departamento de Canindeyú,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-24.25,-55.25,None,None
Departamento de Caazapá,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-26.25,-56.06667,None,None
Departamento de Caaguazú,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-25.2,-55.83333,None,None
Departamento del Amambay,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-22.83333,-55.95,None,None
Departamento del Alto Paraná,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-25.5,-54.83333,None,None
Departamento de Alto Paraguay,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,PY,-20.5,-59.16667,None,None
Departamento de Treinta y Tres,https://www.geonames.org/ontology#A,https://www.geonames.org/ontology#A.ADM1,UY,-33,-54.25,None,None
